Level1,Level2,Level3,Federal,State,Local
s,skaraborg,Maskinoperatör; mekanisk verkstad,9,0,0
s,stockholms  stad,Biståndsbedömare/Biståndshandläggare,17,0,0
s,stockholm',Servitör/Servitris,6,0,0
s,stockholm,Undersköterska; hemtjänst och äldreboende,14,0,0
s,stockholm,Systemutvecklare/Programmerare,5,0,0
s,stockholm,Städare/Lokalvårdare,34,0,0
s,stockholm,Socionom,8,0,0
s,stockholm,Restaurangbiträde,9,0,0
s,stockholm,Receptionist; telefonist,9,0,0
s,stockholm,Marknadsassistent,7,0,0
s,stödpedagog,Stödpedagog,6,0,0
s,service,Personlig assistent,7,0,0
s,Säljare,Eventsäljare/Eventförsäljare,10,0,0
s,service,Administrativ assistent,7,0,0
s,Sommarjobb,Receptionist; telefonist,9,0,0
s,Sommarjobb,Telefonförsäljare,7,0,0
s,Sommarjobb,Terminalarbetare,6,0,0
s,Sommarjobb,Truckförare,5,0,0
s,Sommarjobb,Trädgårdsarbetare/Plantskolearbetare; trädgård,7,0,0
s,Sommarjobb,Utesäljare,11,0,0
s,Spanska,Cirkelledare/Studiecirkelledare,12,0,0
s,Spanska,Jobbcoach/Utbildningscoach,5,0,0
s,Spanska,Kock; à la carte,6,0,0
s,Spanska,Lärare i grundskolan; årskurs 7-9,59,0,0
s,Spanska,Lärare i gymnasiet,37,0,0
s,Spanska,Servitör/Servitris,5,0,0
s,Spanska,Telefonförsäljare,6,0,0
s,Spanska,Utbildningskoordinator,6,0,0
s,Spånga,Barnskötare,7,0,0
s,Spånga,Butikssäljare/Medarbetare; dagligvaror,5,0,0
s,Spånga,Lagerarbetare,6,0,0
s,Sommarjobb,Personlig assistent,34,0,0
s,Staffanstorp,Personlig assistent,6,0,0
s,Sommarjobb,Parkarbetare/Utemiljöarbetare/Miljövärd,8,0,0
s,Sommarjobb,Lagerarbetare,53,0,0
s,Slöjd,Lärare i grundskolan; årskurs 7-9,8,0,0
s,Snickare,Bygg- och anläggningsförare,6,0,0
s,Snickare,Grovarbetare; bygg och anläggning,6,0,0
s,Snickare,Träarbetare/Snickare,22,0,0
s,Snickare,Träarbetare/Snickare; utan yrkesbevis,5,0,0
s,So,Lärare i grundskolan; årskurs 7-9,11,0,0
s,Socialpedagog,Behandlingsassistent/Socialpedagog,6,0,0
s,Socionom,Socialsekreterare,6,0,0
s,Somaliska,Modersmålslärare i grundskolan,6,0,0
s,Sommar,Kundtjänstmedarbetare,6,0,0
s,Sommarjobb,Butikskonsulent,6,0,0
s,Sommarjobb,Butikssäljare/Medarbetare; dagligvaror,6,0,0
s,Sommarjobb,Diversearbetare,8,0,0
s,Sommarjobb,Ekonomiassistent,10,0,0
s,Sommarjobb,Fastighetsskötare/Fastighetsarbetare,5,0,0
s,Sommarjobb,Handpaketerare,6,0,0
s,Sommarjobb,Kundtjänstmedarbetare,11,0,0
s,Sommarjobb,Montör; metallprodukter,6,0,0
s,Slöjd,Lärare i grundskolan; årskurs 4-6,10,0,0
s,Steneby,Lärare i förskola/Förskollärare,5,0,0
s,Stockholm,Administrativ assistent,14,0,0
s,Svenska,Lärare i grundskolan; årskurs 7-9,5,0,0
s,Svenska,Lärare i gymnasiet,5,0,0
s,Svetsare,Svetsare; manuell,18,0,0
s,Systemvetare,Systemutvecklare/Programmerare,5,0,0
s,Säkerhetssamordnare,Säkerhetsrådgivare,6,0,0
s,Sälj,Account manager,5,0,0
s,Säljare,Abonnemangsförsäljare,5,0,0
s,Säljare,Account manager,26,0,0
s,Säljare,Hemförsäljare,17,0,0
s,Säljare,Innesäljare,37,0,0
s,Säljare,Mediasäljare,7,0,0
s,Säljare,Säljkonsulent,12,0,0
s,Säljare,Telefonförsäljare,10,0,0
s,Säljare,Utesäljare,70,0,0
s,Södermalm,Personlig assistent,5,0,0
s,Södermalm,Undersköterska; hemtjänst och äldreboende,5,0,0
s,service,Kundtjänstmedarbetare,8,0,0
s,Sveg,Distriktssköterska,5,0,0
s,Steneby,Personlig assistent,7,0,0
s,Sushi,Kock; à la carte,6,0,0
s,Supply,Projektledare; bygg och anläggning,5,0,0
s,Stockholm,Budbilsförare,6,0,0
s,Stockholm,Butikssäljare; fackhandel,7,0,0
s,Stockholm,Lärare i förskola/Förskollärare,10,0,0
s,Stockholm lä,Personlig assistent,18,0,0
s,Stockholm län,Personlig assistent,27,0,0
s,Stockholm län,Servitör/Servitris,6,0,0
s,Stockholms,Lärare i grundskolan; årskurs 1-3,21,0,0
s,Storkök,Kock; storhushåll,10,0,0
s,Student,Lagerarbetare,5,0,0
s,Städ,Städare/Lokalvårdare,17,0,0
s,Städ lokavårdare,Städare/Lokalvårdare,5,0,0
s,Städare/Lokalvårdare,Städare/Lokalvårdare,5,0,0
s,Städning,Barnflicka/Barnvakt,9,0,0
s,Städning,Butikssäljare/Medarbetare; dagligvaror,6,0,0
s,Städning,Personlig assistent,7,0,0
s,Städning,Städare/Lokalvårdare,23,0,0
s,Sundsvall,Kontakttolk/Dialogtolk,11,0,0
s,Support,Helpdesktekniker/Supporttekniker,7,0,0
s,Skåne,Väktare,7,0,0
s,Sommarjobb,Undersköterska; hemtjänst och äldreboende,8,0,0
s,Skåne,Undersköterska; vård- o specialavd. o mottagning,6,0,0
s,SO,Lärare i grundskolan; årskurs 4-6,7,0,0
s,SO,Lärare i grundskolan; årskurs 7-9,12,0,0
s,SVA LÄRARE,Lärare i gymnasiet,7,0,0
s,Samhällskunskap,Lärare i gymnasiet,6,0,0
s,Samordnare,Administrativ chef,5,0,0
s,Service,Kundtjänstmedarbetare,5,0,0
s,Servicerådgivare,Kundmottagare/Verkmästare; bilverkstad,5,0,0
s,Servicetekniker,Servicetekniker; elektronik,8,0,0
s,Servicetekniker,Servicetekniker; maskin,18,0,0
s,Servitör,Servitör/Servitris,22,0,0
s,Sjuksköterska,Distriktssköterska,26,0,0
s,Sjuksköterska,Sjuksköterska; grundutbildad,208,0,0
s,Sjuksköterska,Sjuksköterska; medicin och kirurgi,11,0,0
s,Sjuksköterska,Sjuksköterska; psykiatrisk vård,9,0,0
s,Sjuksköterska,Sjuksköterska; äldreomsorg och -vård/geriatrik,21,0,0
s,Sjuksköterska,Skolsköterska,12,0,0
s,"Sjuksköterska,",Sjuksköterska; grundutbildad,10,0,0
s,SFI,SFI-lärare,11,0,0
s,"Sjuksköterska, barn",Sjuksköterska; grundutbildad,5,0,0
s,Säljare,Butikssäljare; fackhandel,24,0,0
s,sales,Butikssäljare; fackhandel,5,0,0
s,servering,Servitör/Servitris,6,0,0
s,scrum,Systemutvecklare/Programmerare,9,0,0
s,sccm,IT-tekniker/Datatekniker,5,0,0
s,scania,Fordonsmontör,6,0,0
s,scania,CNC-operatör/FMS-operatör,7,0,0
s,scania,Business controller,5,0,0
s,scania,Administrativ assistent,6,0,0
s,sandviken,Personalchef/HR-chef,7,0,0
s,sandviken,Administrativ chef,8,0,0
s,samordnare,Utbildningskoordinator,6,0,0
s,samordnare,Socionom,8,0,0
s,samordnare,Personalansvarig,5,0,0
s,Skåne,Utesäljare,22,0,0
s,samordnare,Administrativ chef,16,0,0
s,samordnare,Administrativ assistent,15,0,0
s,samhällskunskap,Lärare i gymnasiet,31,0,0
s,sales,Internationell säljare,5,0,0
s,saab,Projektledare; bygg och anläggning,10,0,0
s,Sjöbo,Lärare i fritidshem/Fritidspedagog,6,0,0
s,samordnare,Jobbcoach/Utbildningscoach,5,0,0
s,Skaraborg,Montör; metallprodukter,9,0,0
s,Skåne,Läkarsekreterare/Vårdadmin/Medicinsk sekreterare,5,0,0
s,Skåne,Lärare i fritidshem/Fritidspedagog,9,0,0
s,Skåne,Lärare i förskola/Förskollärare,10,0,0
s,Skåne,Lärare i grundskolan; årskurs 4-6,6,0,0
s,Skåne,Lärare i grundskolan; årskurs 7-9,7,0,0
s,Skåne,Lärare i gymnasiet,8,0,0
s,Skåne,Marknadsförare,6,0,0
s,Skåne,Medlemsvärvare; intresseorg./Telefonkommunikatör,5,0,0
s,Skåne,Lagerarbetare,8,0,0
s,Skåne,Undersköterska; hemtjänst och äldreboende,12,0,0
s,Skåne,Städare/Lokalvårdare,20,0,0
s,Skåne,Specialpedagog,11,0,0
s,Skåne,Socionom,5,0,0
s,Skåne,Socialsekreterare,10,0,0
s,Skåne,Sjuksköterska; grundutbildad,12,0,0
s,Skåne,Receptionist; telefonist,17,0,0
s,Skåne,Psykolog,8,0,0
s,Skaraborg,Kranbilsförare,5,0,0
s,Skåne,Truckförare,5,0,0
s,Skåne,Kurator,14,0,0
s,Skåne,Personlig assistent,13,0,0
s,Skåne,Innesäljare,10,0,0
s,Skaraborg,Truckförare,7,0,0
s,Skaraborg,Undersköterska; vård- o specialavd. o mottagning,6,0,0
s,Skellefteå kommun,Sjuksköterska; grundutbildad,6,0,0
s,Skoladministratör,Administrativ utvecklare,5,0,0
s,Skåne,Account manager,13,0,0
s,Skåne,Administrativ assistent,8,0,0
s,Skåne,Arbetsterapeut,7,0,0
s,Skåne,Behandlingsassistent/Socialpedagog,5,0,0
s,Skåne,Budbilsförare,5,0,0
s,Skåne,Barnmorska,5,0,0
s,Skåne,Hemförsäljare,6,0,0
s,Skåne,Eventsäljare/Eventförsäljare,8,0,0
s,Skåne,Elevassistent,6,0,0
s,Skåne,Ekonomiassistent,5,0,0
s,Skåne,Distributionsförare,20,0,0
s,Skåne,Informatör/Kommunikatör,7,0,0
s,Skåne,Butikssäljare/Medarbetare; dagligvaror,10,0,0
t,teckenspråk,Elevassistent,6,0,0
t,teckenspråk,Vårdare/Arbetshandledare/Boendestödjare,14,0,0
t,teacher,Lärare i gymnasiet,10,0,0
t,teacher,Lärare i grundskolan; årskurs 7-9,8,0,0
t,tekniker,Helpdesktekniker/Supporttekniker,23,0,0
t,tekniker,IT-tekniker/Datatekniker,12,0,0
t,telecomputing,Helpdesktekniker/Supporttekniker,5,0,0
t,testare,Systemtestare,16,0,0
t,teacher,Lärare i grundskolan; årskurs 1-3,7,0,0
t,teckenspråk,Personlig assistent,25,0,0
t,teacher,Elevassistent,5,0,0
t,Teckenspråk,Vårdare/Arbetshandledare/Boendestödjare,8,0,0
t,Tekniker,Helpdesktekniker/Supporttekniker,5,0,0
t,Telecom,Projektledare; IT,5,0,0
t,Tekniker,IT-tekniker/Datatekniker,7,0,0
t,Tak,Abonnemangsförsäljare,9,0,0
t,Teacher,Lärare i grundskolan; årskurs 7-9,10,0,0
t,Teckenspråk,Elevassistent,5,0,0
t,textil,Inköpsassistent,5,0,0
t,Teckenspråk,Pedagogassistent,5,0,0
t,Teckenspråk,Personlig assistent,13,0,0
t,Teckenspråk,Speciallärare,9,0,0
t,tapas,Kock; à la carte,6,0,0
t,textil,Lärare i grundskolan; årskurs 4-6,7,0,0
t,trafikskola,Trafiklärare,5,0,0
t,textillärare,Lärare i grundskolan; årskurs 4-6,7,0,0
t,Testare,Systemtestare,20,0,0
t,tysktalande,Kundtjänstmedarbetare,8,0,0
t,tyska,Receptionist; telefonist,10,0,0
t,tyska,Ordermottagare,7,0,0
t,tyska,Orderadministratör,9,0,0
t,tyska,Modersmålslärare i grundskolan,17,0,0
t,tyska,Lärare i gymnasiet,40,0,0
t,tyska,Lärare i grundskolan; årskurs 7-9,53,0,0
t,tyska,Kundtjänstmedarbetare,17,0,0
t,tyska,Ekonomiassistent,5,0,0
t,tyska,Administrativ assistent,10,0,0
t,turkiska,Modersmålslärare/Modersmålspedagog,7,0,0
t,tumba,Lagerarbetare,5,0,0
t,tull,Tulltjänsteman,6,0,0
t,träning,Personlig tränare/PT,6,0,0
t,tränare,Personlig tränare/PT,7,0,0
t,truckkort,Lagerarbetare,7,0,0
t,textilslöjd,Lärare i grundskolan; årskurs 4-6,17,0,0
t,textilslöjd,Lärare i grundskolan; årskurs 7-9,9,0,0
t,thai,Kock; à la carte,6,0,0
t,thai,Specialkock,9,0,0
t,tigrinja,Jobbcoach/Utbildningscoach,9,0,0
t,tigrinja,Modersmålslärare i grundskolan,10,0,0
t,textil,Lärare i grundskolan; årskurs 7-9,7,0,0
t,tigrinja,Verksamhetskonsult,6,0,0
t,till,Butikssäljare; fackhandel,5,0,0
t,till,Farmaceut/Apotekare,12,0,0
t,till,Kurator,5,0,0
t,torslanda,Lärare i förskola/Förskollärare,8,0,0
t,trainee,CNC-operatör/FMS-operatör,7,0,0
t,triangeln,Butikssäljare; fackhandel,5,0,0
t,till,Administrativ assistent,8,0,0
t,Textilslöjd,Lärare i grundskolan; årskurs 4-6,6,0,0
t,Tyska,Lärare i gymnasiet,11,0,0
t,Trädgårdsarbetare,Arbetsledare;trädgård/Trädgårdsanläggningsförman,10,0,0
t,Trädgårdsarbetare,Parkarbetare/Utemiljöarbetare/Miljövärd,15,0,0
t,Trädgårdsarbetare,Trädgårdsanläggare/Trädgårdsanläggningsarbetare,32,0,0
t,Trädgårdsarbetare,Trädgårdsarbetare/Plantskolearbetare; trädgård,18,0,0
t,Träning,Personlig tränare/PT,7,0,0
t,Tumba,Ekonomiassistent,6,0,0
t,Tumba,Lagerarbetare,12,0,0
t,Tyska,Lärare i grundskolan; årskurs 7-9,32,0,0
t,Trappstädning,Städare/Lokalvårdare,7,0,0
u,undersköterska labbrotoriet,Undersköterska; vård- o specialavd. o mottagning,10,0,0
u,undersköterska labbrotoriet,Undersköterska; hemtjänst och äldreboende,23,0,0
u,undersköterska,Vårdbiträde,9,0,0
u,undersköterska,Vårdare/Arbetshandledare/Boendestödjare,24,0,0
u,undersköterska,Undersköterska; vård- o specialavd. o mottagning,150,0,0
u,undersköterska,Undersköterska; hemtjänst och äldreboende,209,0,0
u,undersköterska,Stödassistent,6,0,0
u,undersköterska,Personlig assistent,33,0,0
u,undersköterska,Skötare,19,0,0
u,undersköterska,Sjuksköterska; grundutbildad,23,0,0
u,undersköterska,SOS-operatör,5,0,0
u,ungerska,Modersmålslärare i grundskolan,5,0,0
u,undersköterska,Elevassistent,9,0,0
u,undersköterska,Behandlingsassistent/Socialpedagog,6,0,0
u,underläkare,ST-läkare,8,0,0
u,undersköterska,Steriltekniker/Undersköterska; sterilcentral,5,0,0
u,uniflex,Kontorsreceptionist,31,0,0
u,upplärning,Tidningsbud/Tidningsdistributör,5,0,0
u,uniflex,Kundtjänstmedarbetare,33,0,0
u,utvecklingsledare,Organisationsutvecklare,5,0,0
u,utvecklare,Systemutvecklare/Programmerare,7,0,0
u,utredare,Socionom,6,0,0
u,utredare,Socialsekreterare,9,0,0
u,utredare,Handläggare/Utredare; offentlig förvaltning,68,0,0
u,utredare,Controller,5,0,0
u,urdu,Modersmålslärare/Modersmålspedagog,7,0,0
u,uniflex,Kontorsvaktmästare,10,0,0
u,uppsala,Vårdare/Arbetshandledare/Boendestödjare,5,0,0
u,uppsala,Städare/Lokalvårdare,6,0,0
u,uppsala,Projektledare; IT,8,0,0
u,uppsala,Personlig assistent,10,0,0
u,uppsala,IT-tekniker/Datatekniker,7,0,0
u,underläkare,Läkare,50,0,0
u,upphandling,Upphandlare,9,0,0
u,upphandling,Inköpare,5,0,0
u,uppsala,Systemadministratör,8,0,0
u,uber,Taxiförare/Taxichaufför,12,0,0
u,utvecklare web,Systemutvecklare/Programmerare,5,0,0
u,Undersköterska,Elevassistent,6,0,0
u,Undersköterska,Skötare,11,0,0
u,Undersköterska,Behandlingsassistent/Socialpedagog,5,0,0
u,Underläkare,Läkare,19,0,0
u,Uddevalla kommun västra götalandå,Sjuksköterska; grundutbildad,5,0,0
u,UNDER,Sjuksköterska; grundutbildad,5,0,0
u,Undersköterska,Stödassistent,5,0,0
u,Undersköterska,Undersköterska; hemtjänst och äldreboende,152,0,0
u,Undersköterska,Undersköterska; vård- o specialavd. o mottagning,155,0,0
u,Undersköterska,Vårdare/Arbetshandledare/Boendestödjare,25,0,0
u,Undersköterska,Vårdbiträde,5,0,0
u,Uppsala,Personlig assistent,8,0,0
u,Uppsala kommun,Städare/Lokalvårdare,96,0,0
u,Utredare,Handläggare/Utredare; offentlig förvaltning,22,0,0
u,Utvecklare,Systemutvecklare/Programmerare,9,0,0
u,Utvecklingsledare,Lärare i förskola/Förskollärare,10,0,0
u,Utvecklingsledare,Lärare i grundskolan; årskurs 1-3,5,0,0
u,Undersköterska,Personlig assistent,10,0,0
u,Undersköterska,Sjuksköterska; grundutbildad,13,0,0
v,verksamhetsutvecklare,Organisationsutvecklare,11,0,0
v,Visby,Lagerarbetare,7,0,0
v,verksamhetsutvecklare,Administrativ utvecklare,13,0,0
v,verksamhetscontroller,Controller,6,0,0
v,verksamhet,Vårdare/Arbetshandledare/Boendestödjare,6,0,0
v,vedum,Montör; träprodukter,6,0,0
v,vd,Verkställande direktör,20,0,0
v,varuplockare,Butikssäljare/Medarbetare; dagligvaror,6,0,0
v,varuplock,Butikssäljare/Medarbetare; dagligvaror,10,0,0
v,Visby,Helpdesktekniker/Supporttekniker,8,0,0
v,vapiano,Restaurangbiträde,6,0,0
v,vaktmästare,Sjukhusvaktmästare,8,0,0
v,vaktmästare,Kontorsvaktmästare,18,0,0
v,vaktmästare,Fastighetsskötare/Fastighetsarbetare,5,0,0
v,verksamhetsutvecklare,Verksamhetsanalytiker,6,0,0
v,vad som helst,Verkstadsmekaniker/Verkstadstekniker,5,0,0
v,vikarie,Barnskötare,32,0,0
v,vikarie,Lärare i förskola/Förskollärare,10,0,0
v,västmanland,Sjuksköterska; grundutbildad,19,0,0
v,västmanland,Sjuksköterska; psykiatrisk vård,5,0,0
v,växjö,Personlig assistent,5,0,0
v,växjö,Socialsekreterare,5,0,0
v,vård,Lärare i gymnasiet - yrkesämnen,5,0,0
v,vård,Undersköterska; hemtjänst och äldreboende,31,0,0
v,vällingby,Personlig assistent,10,0,0
v,vård och omsorg,Undersköterska; hemtjänst och äldreboende,6,0,0
v,vård omsorg,Undersköterska; hemtjänst och äldreboende,7,0,0
v,vårdcentral,Sjuksköterska; grundutbildad,11,0,0
v,vården,Personlig assistent,6,0,0
v,vårdlärare,Lärare i gymnasiet,24,0,0
v,vårdlärare,Lärare i gymnasiet - yrkesämnen,54,0,0
v,vårdlärare,Undersköterska; hemtjänst och äldreboende,5,0,0
v,vård och omsårg,Undersköterska; hemtjänst och äldreboende,5,0,0
v,vikarie,Lärare i fritidshem/Fritidspedagog,5,0,0
v,vällingby,Barnskötare,8,0,0
v,vvs,VVS-ingenjör,5,0,0
v,vikarie,Lärare i grundskolan; årskurs 1-3,11,0,0
v,vikarie,Personlig assistent,24,0,0
v,vikarie,Vårdare/Arbetshandledare/Boendestödjare,7,0,0
v,visby,Barnflicka/Barnvakt,5,0,0
v,visby,Butikssäljare; fackhandel,5,0,0
v,visby,Lagerarbetare,13,0,0
v,vvs,VVS-montör,7,0,0
v,visby,Parkarbetare/Utemiljöarbetare/Miljövärd,6,0,0
v,visby,Restaurangbiträde,8,0,0
v,visby,Servitör/Servitris,20,0,0
v,visby,Systemförvaltare,5,0,0
v,volvo,Fordonsmontör,12,0,0
v,volvo,Fordonstekniker/Bilmekaniker/Personbilsmekaniker,5,0,0
v,volvo,Informationschef/Kommunikationschef,5,0,0
v,visby,Receptionist; telefonist,9,0,0
v,vad som helst,Utesäljare,10,0,0
v,varuplock,Butikskonsulent,5,0,0
v,vad som helst,Systemutvecklare/Programmerare,6,0,0
v,Verksamhetsledare,Lärare i förskola/Förskollärare,5,0,0
v,Verksamhetsledare,Personlig assistent,7,0,0
v,Verksamhetsutvecklare,Organisationsutvecklare,8,0,0
v,Visby,Administrativ chef,5,0,0
v,Visby,Barnflicka/Barnvakt,6,0,0
v,Visby,Besöksbokare/Kundbokare,6,0,0
v,Visby,Butikssäljare; fackhandel,5,0,0
v,Vårdlärare,Lärare i gymnasiet - yrkesämnen,9,0,0
v,Vård,Lärare i gymnasiet - yrkesämnen,6,0,0
v,Vällingby,Undersköterska; hemtjänst och äldreboende,7,0,0
v,Vällingby,Personlig assistent,7,0,0
v,Vällingby,Kundtjänstmedarbetare,11,0,0
v,vad som helst,Truckförare,15,0,0
v,Vällingby,Barnskötare,9,0,0
v,Vuxna,Lärare i gymnasiet - yrkesämnen,5,0,0
v,Volvo,Truckförare,5,0,0
v,Volvo,Informationschef/Kommunikationschef,5,0,0
v,Volvo,Fordonsmontör,12,0,0
v,Visma,Löneadministratör,9,0,0
v,Visby,Receptionist; telefonist,10,0,0
v,Visby,Personlig assistent,14,0,0
v,Verksamhetschef,Verksamhetschef; hälso- och sjukvård,8,0,0
v,Veddige,Produktionstekniker; maskin/verkstad,6,0,0
v,Vällingby,Butikssäljare; fackhandel,9,0,0
v,Vaktmästare,Undersköterska; hemtjänst och äldreboende,8,0,0
v,vad som helst,Städare/Lokalvårdare,5,0,0
v,vad som helst,Speciallärare,5,0,0
v,vad som helst,Sjuksköterska; grundutbildad,12,0,0
v,vad som helst,Restaurangbiträde,5,0,0
v,vad som helst,Montör; träprodukter,5,0,0
v,vad som helst,Montör; metallprodukter,10,0,0
v,vad som helst,Lärare i gymnasiet,6,0,0
v,vad som helst,Lärare i förskola/Förskollärare,10,0,0
v,vad som helst,Lagerarbetare,6,0,0
v,vad som helst,Hemförsäljare,7,0,0
v,vad som helst,Distributionsförare,5,0,0
v,vad som helst,Administrativ assistent,5,0,0
v,vad som helst,CNC-operatör/FMS-operatör,6,0,0
v,Varbergs kommun,Lärare i grundskolan; årskurs 7-9,8,0,0
v,Vaktmästare,Fastighetsskötare/Fastighetsarbetare,12,0,0
v,Vaktmästare,Kontorsvaktmästare,22,0,0
v,Vaktmästare,Lärare i fritidshem/Fritidspedagog,5,0,0
v,Vaktmästare,Lärare i grundskolan; årskurs 1-3,5,0,0
v,Vaktmästare,Lärare i grundskolan; årskurs 4-6,6,0,0
v,Vaktmästare,Parkarbetare/Utemiljöarbetare/Miljövärd,6,0,0
v,Vaktmästare,Skolvaktmästare,15,0,0
v,VD,Verkställande direktör,15,0,0
w,wordpress,Systemutvecklare/Programmerare,10,0,0
w,webbutvecklare,Systemutvecklare/Programmerare,12,0,0
w,windows server,Helpdesktekniker/Supporttekniker,11,0,0
x,xxl,Butikssäljare; fackhandel,5,0,0
y,yrkeslärare,Lärare i gymnasiet - yrkesämnen,24,0,0
y,yrkesvägledare,Jobbcoach/Utbildningscoach,5,0,0
y,yrkesvägledare,Studie- och yrkesvägledare,17,0,0
y,yrkeslärare,Lärare i gymnasiet,6,0,0
y,Yrkeslärare,Lärare i gymnasiet - yrkesämnen,9,0,0
y,Yrkeslärare,Lärare i gymnasiet,6,0,0
z,Zoovillage,Kundtjänstmedarbetare,7,0,0
z,zara,Butikssäljare; fackhandel,7,0,0
ä,äldreboende,Sjuksköterska; äldreomsorg och -vård/geriatrik,7,0,0
ä,äldreboende,Sjuksköterska; grundutbildad,22,0,0
ä,äldreomsorg,Undersköterska; hemtjänst och äldreboende,6,0,0
ä,äldreboende,Undersköterska; hemtjänst och äldreboende,22,0,0
ä,äldreomsorg,Personlig assistent,13,0,0
ä,Äldreomsorg,Undersköterska; hemtjänst och äldreboende,11,0,0
ä,Äldreboende,Undersköterska; hemtjänst och äldreboende,15,0,0
å,Åkersberga,Vårdare/Arbetshandledare/Boendestödjare,5,0,0
å,Åkersberga,Sjuksköterska; grundutbildad,6,0,0
å,åstorp,Lärare i förskola/Förskollärare,13,0,0
å,åkersberga,Butikssäljare/Medarbetare; dagligvaror,9,0,0
å,Åkersberga,Butikssäljare/Medarbetare; dagligvaror,6,0,0
å,åhlens,Butikssäljare; fackhandel,6,0,0
å,Åkersberga,Undersköterska; hemtjänst och äldreboende,5,0,0
ö,örebro,Personlig assistent,12,0,0
ö,österfärnebo,Lärare i grundskolan; årskurs 7-9,7,0,0
ö,örebro,Vårdare/Arbetshandledare/Boendestödjare,9,0,0
ö,Östergötland,Arkivarie,6,0,0
ö,Östergötland,Distributionsförare,5,0,0
ö,Örnsköldsviks,Samtalsterapeut,5,0,0
ö,Örebro,Vårdare/Arbetshandledare/Boendestödjare,5,0,0
ö,Örebro,Butikssäljare; fackhandel,5,0,0
ö,ÖREBRO,Personlig assistent,5,0,0
ö,överförmyndarhandläggare,Handläggare/Utredare; offentlig förvaltning,7,0,0
ö,Östergötland,Läkarsekreterare/Vårdadmin/Medicinsk sekreterare,5,0,0
ö,översättning,Marknadsförare,5,0,0
